,popularity,danceability,energy,valence,acousticness,tempo
popularity,1.0,0.03544813475138456,0.001056136299699478,-0.04053429465994478,-0.02547241256836296,0.013204659932995164
danceability,0.03544813475138456,1.0,0.1343254834689731,0.4773412353128837,-0.1715333309537537,-0.05044987143121911
energy,0.001056136299699478,0.1343254834689731,1.0,0.2589339951838104,-0.7339063209687006,0.24785050980261852
valence,-0.04053429465994478,0.4773412353128837,0.2589339951838104,1.0,-0.10707017977230607,0.0782730676394731
acousticness,-0.02547241256836296,-0.1715333309537537,-0.7339063209687006,-0.10707017977230607,1.0,-0.20822414719631155
tempo,0.013204659932995164,-0.05044987143121911,0.24785050980261852,0.0782730676394731,-0.20822414719631155,1.0
